ScientificName,CommonName,FrenchName,Sex,Minimum length at first maturity,Mean length at first maturity (Lm),Measurement type,Country,Locality,Reference,URL
Cottus ricei,Spoonhead Sculpin,Chabot à tête plate,,,68,,,Lake Superior,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Notropis hudsonius,Spottail Shiner,Queue à tache noire,,,55,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Minytrema melanops,Spotted Sucker,,,,270,TL,United States,Oklahoma,"Becker, 1983",http://fishbase.us/references/FBRefSummary.php?id=54725
Noturus flavus,Stonecat,Barbotte des rapides,,,89,SL,United States,Ohio,"Scott and Crossman, 1973",http://fishbase.us/references/FBRefSummary.php?id=52559
Morone saxatilis,Striped Bass,Bar d'Amérique,,,422,FL,,St. Lawrence River,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Noturus gyrinus,Tadpole Madtom,Chat-fou brun,,,62,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Tinca tinca,Tench,Tanche,Male,,95,,,,Coad et al. 1995,http://fishbase.us/references/FBRefSummary.php?id=12204
Tinca tinca,Tench,Tanche,Female,,120,,,,Coad et al. 1995,http://fishbase.us/references/FBRefSummary.php?id=12204
Etheostoma olmstedi,Tessellated Darter,,,,40,TL,,,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Gasterosteus aculeatus,Three-Spined Stickleback,Épinoche à trois épines,,,37,TL,England and Wales (UK),Birket River,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Cottus rhotheus,Torrent Sculpin,Chabot de torrent,,,53,SL,Canada,British Columbia,"Wydoski and Whitney, 1979",http://fishbase.us/references/FBRefSummary.php?id=58470
Percopsis omiscomaycus,Trout-Perch,Omisco,,,78,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Sander vitreus,Walleye,Doré jaune,,,328,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Lepomis gulosus,Warmouth,,,,89,,,,"Carlander, 1969",http://www.fishbase.org/References/FBRefSummary.php?id=3672
Notropis texanus,Weed Shiner,Méné d’herbe,,,42,TL,United States,Wisconsin,Coker et al. 2001,http://science-catalogue.canada.ca/record=b3896533~S6
Lampetra richardsoni,Western Brook Lamprey,Lamproie de l' ouest,,,165,,Canada,British Columbia,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Morone chrysops,White Bass,Bar blanc,,,115,SL,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Pomoxis annularis,White Crappie,Crapet calicot,,152,177,TL,United States,,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Morone americana,White Perch,Bar blanc d'Amerique,,,254,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
